,Links
0,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen
1,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
2,https://myanimelist.net/anime/9253/Steins_Gate
3,https://myanimelist.net/anime/28977/Gintama°
4,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
5,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
6,https://myanimelist.net/anime/39486/Gintama__The_Final
7,https://myanimelist.net/anime/9969/Gintama
8,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
9,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
10,https://myanimelist.net/anime/15417/Gintama__Enchousen
11,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
12,https://myanimelist.net/anime/34096/Gintama
13,https://myanimelist.net/anime/47917/Bocchi_the_Rock
14,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
15,https://myanimelist.net/anime/4181/Clannad__After_Story
16,https://myanimelist.net/anime/918/Gintama
17,https://myanimelist.net/anime/28851/Koe_no_Katachi
18,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
19,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie
20,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
21,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
22,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen
23,https://myanimelist.net/anime/32281/Kimi_no_Na_wa
24,https://myanimelist.net/anime/19/Monster
25,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen
26,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2
27,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
28,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen
29,https://myanimelist.net/anime/40682/Kingdom_3rd_Season
30,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
31,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen
32,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou
33,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
34,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2
35,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season
36,https://myanimelist.net/anime/44074/Shiguang_Dailiren
37,https://myanimelist.net/anime/50172/Mob_Psycho_100_III
38,https://myanimelist.net/anime/1/Cowboy_Bebop
39,https://myanimelist.net/anime/263/Hajime_no_Ippo
40,https://myanimelist.net/anime/50160/Kingdom_4th_Season
41,https://myanimelist.net/anime/37521/Vinland_Saga
42,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season
43,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen
44,https://myanimelist.net/anime/53273/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3
45,https://myanimelist.net/anime/48569/86_Part_2
46,https://myanimelist.net/anime/2921/Ashita_no_Joe_2
47,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2
48,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
49,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
50,https://myanimelist.net/anime/46102/Odd_Taxi
